,sal,popul,w_years,smoke,sex,age,kids,harm,ill,popul_sq,w_years_sq,popul_ln,educ_ВЫСШЕЕ,educ_ПТУ,educ_ШКОЛА,educ_без образования,marriage_не_состоит,marriage_сожительство,marriage_состоит,school_ИНЫЕ_ВИДЫ,school_ОБЫЧНАЯ_ШКОЛА,school_УГЛУБ,school_без образования,satisf_ДА,satisf_И_ДА_И_НЕТ,satisf_НЕТ,occup_ВЫСШАЯ_КВАЛИФИКАЦИЯ,occup_ГОС_СЛУЖАЩИЙ,occup_КВАЛ_РАБОЧИЕ,occup_НЕКВАЛ_РАБОЧИЕ,occup_ОФИСНЫЕ_РАБОЧИЕ,occup_ТОРГОВЛЯ,occup_без_квалификации
182,40000.0,1600.0,19.0,0.0,0,37.0,1.0,1.0,0.0,2560000.0,361.0,7.3777589082278725,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
183,0.0,1600.0,39.0,1.0,0,62.0,7.0,0.0,0.0,2560000.0,1521.0,7.3777589082278725,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
184,40000.0,1600.0,17.0,1.0,0,38.0,3.0,1.0,0.0,2560000.0,289.0,7.3777589082278725,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
185,20000.0,1600.0,9.0,1.0,0,34.0,0.0,0.0,0.0,2560000.0,81.0,7.3777589082278725,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
186,25000.0,1600.0,8.0,0.0,0,34.0,2.0,1.0,0.0,2560000.0,64.0,7.3777589082278725,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
187,30000.0,1600.0,9.0,0.0,0,29.0,2.0,0.0,0.0,2560000.0,81.0,7.3777589082278725,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
188,15000.0,1600.0,0.0,1.0,1,29.0,0.0,0.0,0.0,2560000.0,0.0,7.3777589082278725,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
189,25000.0,1600.0,39.0,0.0,0,61.0,2.0,1.0,0.0,2560000.0,1521.0,7.3777589082278725,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
190,30000.0,1600.0,13.0,0.0,0,35.0,2.0,0.0,0.0,2560000.0,169.0,7.3777589082278725,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
191,40000.0,1600.0,13.0,1.0,1,32.0,1.0,1.0,20.0,2560000.0,169.0,7.3777589082278725,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
192,0.0,1600.0,31.0,0.0,0,69.0,1.0,0.0,0.0,2560000.0,961.0,7.3777589082278725,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
193,35000.0,1600.0,18.0,1.0,1,39.0,1.0,0.0,0.0,2560000.0,324.0,7.3777589082278725,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
194,14000.0,4000.0,36.0,0.0,0,55.0,1.0,0.0,14.0,16000000.0,1296.0,8.294049640102028,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
196,0.0,4000.0,39.0,0.0,0,83.0,3.0,0.0,0.0,16000000.0,1521.0,8.294049640102028,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
199,0.0,30.0,33.0,0.0,0,73.0,2.0,0.0,0.0,900.0,1089.0,3.4011973816621555,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
200,0.0,30.0,37.0,0.0,1,80.0,2.0,0.0,0.0,900.0,1369.0,3.4011973816621555,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
201,0.0,100.0,35.0,0.0,0,69.0,2.0,0.0,0.0,10000.0,1225.0,4.605170185988092,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
202,0.0,100.0,40.0,0.0,1,67.0,2.0,0.0,0.0,10000.0,1600.0,4.605170185988092,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
205,40000.0,300.0,18.0,0.0,1,39.0,1.0,0.0,0.0,90000.0,324.0,5.703782474656201,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
206,0.0,300.0,39.0,0.0,0,61.0,1.0,0.0,0.0,90000.0,1521.0,5.703782474656201,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
207,0.0,300.0,49.0,0.0,1,65.0,1.0,0.0,14.0,90000.0,2401.0,5.703782474656201,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
208,0.0,30.0,38.0,0.0,0,81.0,1.0,0.0,0.0,900.0,1444.0,3.4011973816621555,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
209,0.0,30.0,40.0,0.0,0,91.0,3.0,0.0,0.0,900.0,1600.0,3.4011973816621555,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
210,0.0,23600.0,33.0,0.0,0,71.0,2.0,0.0,0.0,556960000.0,1089.0,10.069001991013701,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
211,0.0,23600.0,36.0,0.0,0,63.0,2.0,0.0,0.0,556960000.0,1296.0,10.069001991013701,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
212,32000.0,23600.0,40.0,0.0,0,62.0,2.0,0.0,0.0,556960000.0,1600.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
213,0.0,23600.0,45.0,0.0,1,65.0,2.0,0.0,0.0,556960000.0,2025.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
214,0.0,23600.0,33.0,0.0,0,55.0,1.0,0.0,0.0,556960000.0,1089.0,10.069001991013701,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
215,0.0,23600.0,26.0,0.0,0,61.0,2.0,0.0,0.0,556960000.0,676.0,10.069001991013701,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
216,0.0,23600.0,37.0,0.0,0,64.0,2.0,0.0,0.0,556960000.0,1369.0,10.069001991013701,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
217,18400.0,23600.0,10.0,1.0,0,41.0,2.0,0.0,0.0,556960000.0,100.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
218,15000.0,23600.0,38.0,0.0,0,58.0,1.0,0.0,0.0,556960000.0,1444.0,10.069001991013701,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
219,30000.0,23600.0,27.0,0.0,1,54.0,1.0,0.0,7.0,556960000.0,729.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
220,0.0,23600.0,28.0,0.0,0,53.0,1.0,0.0,40.0,556960000.0,784.0,10.069001991013701,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
221,0.0,23600.0,38.0,0.0,0,76.0,2.0,0.0,0.0,556960000.0,1444.0,10.069001991013701,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
222,0.0,23600.0,37.0,0.0,0,66.0,2.0,0.0,0.0,556960000.0,1369.0,10.069001991013701,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
223,0.0,23600.0,38.0,1.0,1,71.0,2.0,0.0,0.0,556960000.0,1444.0,10.069001991013701,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
224,13000.0,23600.0,16.0,0.0,0,38.0,1.0,0.0,0.0,556960000.0,256.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
225,0.0,23600.0,26.0,0.0,1,54.0,1.0,0.0,12.0,556960000.0,676.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
226,13000.0,23600.0,20.0,0.0,0,51.0,1.0,0.0,0.0,556960000.0,400.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
227,0.0,23600.0,4.0,0.0,0,32.0,1.0,0.0,0.0,556960000.0,16.0,10.069001991013701,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
228,0.0,23600.0,40.0,1.0,1,73.0,3.0,0.0,0.0,556960000.0,1600.0,10.069001991013701,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
